Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.DNSEnabled,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.DNSOverrideAllowed,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.DNSServers,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.DefaultGateway,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Enable,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.ExternalIPAddress,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"10.254.101.245",xsd:string,2026-06-17T09:01:38.816Z,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.IdleDisconnectTime,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.LastConnectionError,false,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.MACAddress,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"A4:F3:3B:8C:94:AF",xsd:string,2026-06-17T08:10:17.091Z,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.MACAddressOverride,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.MaxMTUSize,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.NATEnabled,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Name,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMapping,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMappingNumberOfEntries,false,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PossibleConnectionTypes,false,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.RSIPAvailable,false,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.RouteProtocolRx,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.ShapingBurstSize,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.ShapingRate,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.SubnetMask,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Uptime,false,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.WarnDisconnectDelay,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_Aftr,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_AftrMode,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_DDNSConfiguration,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_DHCPOPTION125,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_DHCPOPTION60,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_DHCPv6OPTION16,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_DHCPv6OPTION17,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_DefaultIPv6Gateway,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_Dslite_Enable,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPForwardList,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPMode,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPoEName,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPoEPassword,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6ConnStatus,false,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6DNSServers,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6DomainName,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6IPAddress,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6IPAddressAlias,false,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6IPAddressOrigin,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6Prefix,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6PrefixAlias,false,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6PrefixDelegationEnabled,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6PrefixOrigin,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6PrefixPltime,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_IPv6PrefixVltime,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_LanInterface,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_LanInterface-DHCPEnable,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_MulticastVlan,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_ServiceList,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_CT-COM_UpstreamWAN,false,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.2,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.2.WANIPConnection,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.2.WANIPConnectionNumberOfEntries,false,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.2.WANPPPConnection,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.2.WANPPPConnectionNumberOfEntries,false,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.2.X_CT-COM_WANEponLinkConfig,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.X_CT-COM_DNSSpeedLimit,true,2026-06-17T08:10:17.087Z,true,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.X_CT-COM_IPTraceRouteDiagnostics,true,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.X_CT-COM_IPoEDiagnostics,true,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.X_CT-COM_PPPOE_EMULATOR,true,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.X_CT-COM_ProxyDevice,true,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.X_CT-COM_Security,true,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.X_CT-COM_UplinkQoS,true,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.X_CT-COM_UserInfo,true,2026-06-17T08:10:17.087Z,false,2026-06-17T08:10:17.087Z,"",,,,,,
InternetGatewayDevice.X_CT-COM_UserInfo.UserName,false,2026-06-17T08:10:17.087Z,,,"ZICG298C94AE",xsd:string,2026-06-17T09:01:38.816Z,,,,
